Pen	BirdID	SeedDen	Habitat	FeedRate	Hx	Hc	Ht	ProVig	DurVig	SearchTime	FreqVig	Date	Time	Sex
1	BL	5	BareSoil	0.378	0.884	0.898	1.782	0.026	0.27	1.083	0	08/11/2008	9	M
1	BR	5	BareSoil	0.467	0.56	0.573	1.133	0.196	0.42	0.475	0.467	08/11/2008	9	F
1	RL	5	BareSoil	0.562	0.467	0.387	0.854	0.146	1.32	0.845	0.245	08/11/2008	9	F
1	RR	5	BareSoil	0.302	0.62	1.18	1.8	0.199	0.173	0.24	0.962	08/11/2008	9	F
1	RRBL	5	BareSoil	0.427	0.557	0.85	1.407	0	0	0.5	0	08/11/2008	9	M
2	BL	5	BareSoil	0.409	0.467	0.427	0.894	0.27	0.33	0.08	0.818	12/11/2008	10	F
2	BR	5	BareSoil	0.276	0.535	0.335	0.87	0.478	1.3	0.447	0.368	12/11/2008	10	F
2	RL	5	BareSoil	0.509	0.493	0.402	0.895	0.106	0.26	0.744	0.407	12/11/2008	10	M
2	RR	5	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
2	RRBL	5	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
3	BL	5	BareSoil	0.159	0.668	0.822	1.49	0.049	0.46	1.525	0.106	19/11/2008	12	F
3	BR	5	BareSoil	0.507	0.4	0.19	0.59	0.318	0.627	0.307	0.507	19/11/2008	12	M
3	RL	5	BareSoil	0.494	0.6	0.328	0.928	0.059	0.24	0.657	0.529	19/11/2008	12	M
3	RR	5	BareSoil	0.602	0.393	0.495	0.888	0.185	0.48	0.52	0.124	19/11/2008	12	M
3	RRBL	5	BareSoil	0.855	0.44	0.313	0.753	0.154	0.24	0.145	0.49	19/11/2008	12	M
4	BL	5	BareSoil	0.216	0.592	0.474	1.066	0.032	0.24	0.173	0.108	18/11/2008	11	F
4	BR	5	BareSoil	0.77	0.487	0.314	0.801	0.134	0.32	0.279	0.128	18/11/2008	11	M
4	RL	5	BareSoil	0.198	0.383	0.447	0.83	0.418	0.36	1.08	0.285	18/11/2008	11	F
4	RR	5	BareSoil	0.428	0.35	0.38	0.73	0.103	1.41	1.3	0.297	18/11/2008	11	F
4	RRBL	5	BareSoil	0.17	0.616	0.688	1.304	0.131	0.513	0.607	0.254	18/11/2008	11	F
