stage,prey,density,eaten ,alive
juvenile,G_oceanicus,2,2,0
juvenile,G_oceanicus,2,2,0
juvenile,G_oceanicus,2,2,0
juvenile,G_oceanicus,2,2,0
juvenile,G_oceanicus,2,2,0
juvenile,G_oceanicus,2,2,0
juvenile,G_oceanicus,2,2,0
juvenile,G_oceanicus,2,2,0
juvenile,G_oceanicus,4,4,0
juvenile,G_oceanicus,4,4,0
juvenile,G_oceanicus,4,3,1
juvenile,G_oceanicus,4,4,0
juvenile,G_oceanicus,4,4,0
juvenile,G_oceanicus,4,3,1
juvenile,G_oceanicus,4,4,0
juvenile,G_oceanicus,4,4,0
juvenile,G_oceanicus,6,4,2
juvenile,G_oceanicus,6,4,2
juvenile,G_oceanicus,6,6,0
juvenile,G_oceanicus,6,6,0
juvenile,G_oceanicus,6,6,0
juvenile,G_oceanicus,6,6,0
juvenile,G_oceanicus,6,4,2
juvenile,G_oceanicus,6,4,2
juvenile,G_oceanicus,8,8,0
juvenile,G_oceanicus,8,8,0
juvenile,G_oceanicus,8,8,0
juvenile,G_oceanicus,8,5,3
juvenile,G_oceanicus,8,8,0
juvenile,G_oceanicus,8,8,0
juvenile,G_oceanicus,8,2,6
juvenile,G_oceanicus,8,2,6
juvenile,G_oceanicus,12,12,0
juvenile,G_oceanicus,12,12,0
juvenile,G_oceanicus,12,12,0
juvenile,G_oceanicus,12,12,0
juvenile,G_oceanicus,12,12,0
juvenile,G_oceanicus,12,11,1
juvenile,G_oceanicus,12,12,0
juvenile,G_oceanicus,12,12,0
juvenile,G_oceanicus,16,16,0
juvenile,G_oceanicus,16,16,0
juvenile,G_oceanicus,16,16,0
juvenile,G_oceanicus,16,16,0
juvenile,G_oceanicus,16,15,1
juvenile,G_oceanicus,16,16,0
juvenile,G_oceanicus,16,16,0
juvenile,G_oceanicus,16,16,0
juvenile,G_oceanicus,20,20,0
juvenile,G_oceanicus,20,20,0
juvenile,G_oceanicus,20,20,0
juvenile,G_oceanicus,20,20,0
juvenile,G_oceanicus,20,20,0
juvenile,G_oceanicus,20,19,1
juvenile,G_oceanicus,20,15,5
juvenile,G_oceanicus,20,20,0
juvenile,G_oceanicus,25,25,0
juvenile,G_oceanicus,25,25,0
juvenile,G_oceanicus,25,25,0
juvenile,G_oceanicus,25,25,0
juvenile,G_oceanicus,25,21,4
juvenile,G_oceanicus,25,25,0
juvenile,G_oceanicus,25,14,11
juvenile,G_oceanicus,25,24,1
juvenile,G_oceanicus,30,29,1
juvenile,G_oceanicus,30,28,2
juvenile,G_oceanicus,30,27,3
juvenile,G_oceanicus,30,29,1
juvenile,G_oceanicus,30,20,10
juvenile,G_oceanicus,30,25,5
juvenile,G_oceanicus,30,15,15
juvenile,G_oceanicus,30,29,1
juvenile,G_oceanicus,35,28,7
juvenile,G_oceanicus,35,31,4
juvenile,G_oceanicus,35,29,6
juvenile,G_oceanicus,35,30,5
juvenile,G_oceanicus,35,19,16
juvenile,G_oceanicus,35,22,13
juvenile,G_oceanicus,35,16,19
juvenile,G_oceanicus,35,35,0
juvenile,G_oceanicus,40,28,12
juvenile,G_oceanicus,40,31,9
juvenile,G_oceanicus,40,29,11
juvenile,G_oceanicus,40,30,10
juvenile,G_oceanicus,40,21,19
juvenile,G_oceanicus,40,22,18
juvenile,G_oceanicus,40,15,25
juvenile,G_oceanicus,40,40,0
juvenile,G_oceanicus,45,28,17
juvenile,G_oceanicus,45,31,14
juvenile,G_oceanicus,45,29,16
juvenile,G_oceanicus,45,30,15
juvenile,G_oceanicus,45,22,23
juvenile,G_oceanicus,45,21,24
juvenile,G_oceanicus,45,14,31
juvenile,G_oceanicus,45,44,1
juvenile,G_oceanicus,50,28,22
juvenile,G_oceanicus,50,31,19
juvenile,G_oceanicus,50,29,21
juvenile,G_oceanicus,50,30,20
juvenile,G_oceanicus,50,21,29
juvenile,G_oceanicus,50,23,27
juvenile,G_oceanicus,50,15,35
juvenile,G_oceanicus,50,43,7
juvenile,G_oceanicus,55,28,27
juvenile,G_oceanicus,55,31,24
juvenile,G_oceanicus,55,29,26
juvenile,G_oceanicus,55,30,25
juvenile,G_oceanicus,55,20,35
juvenile,G_oceanicus,55,24,31
juvenile,G_oceanicus,55,16,39
juvenile,G_oceanicus,55,43,12
juvenile,G_oceanicus,60,28,32
juvenile,G_oceanicus,60,31,29
juvenile,G_oceanicus,60,29,31
juvenile,G_oceanicus,60,30,30
juvenile,G_oceanicus,60,21,39
juvenile,G_oceanicus,60,22,38
juvenile,G_oceanicus,60,16,44
juvenile,G_oceanicus,60,42,18
juvenile,P_varians,2,2,0
juvenile,P_varians,2,2,0
juvenile,P_varians,2,2,0
juvenile,P_varians,2,2,0
juvenile,P_varians,2,2,0
juvenile,P_varians,2,2,0
juvenile,P_varians,2,2,0
juvenile,P_varians,2,1,1
juvenile,P_varians,4,4,0
juvenile,P_varians,4,4,0
juvenile,P_varians,4,4,0
juvenile,P_varians,4,4,0
juvenile,P_varians,4,4,0
juvenile,P_varians,4,4,0
juvenile,P_varians,4,4,0
juvenile,P_varians,4,4,0
juvenile,P_varians,6,6,0
juvenile,P_varians,6,6,0
juvenile,P_varians,6,6,0
juvenile,P_varians,6,6,0
juvenile,P_varians,6,6,0
juvenile,P_varians,6,6,0
juvenile,P_varians,6,6,0
juvenile,P_varians,6,6,0
juvenile,P_varians,8,8,0
juvenile,P_varians,8,8,0
juvenile,P_varians,8,8,0
juvenile,P_varians,8,8,0
juvenile,P_varians,8,8,0
juvenile,P_varians,8,8,0
juvenile,P_varians,8,8,0
juvenile,P_varians,8,8,0
juvenile,P_varians,12,12,0
juvenile,P_varians,12,12,0
juvenile,P_varians,12,12,0
juvenile,P_varians,12,12,0
juvenile,P_varians,12,12,0
juvenile,P_varians,12,11,1
juvenile,P_varians,12,12,0
juvenile,P_varians,12,12,0
juvenile,P_varians,16,16,0
juvenile,P_varians,16,16,0
juvenile,P_varians,16,16,0
juvenile,P_varians,16,16,0
juvenile,P_varians,16,16,0
juvenile,P_varians,16,15,1
juvenile,P_varians,16,16,0
juvenile,P_varians,16,16,0
juvenile,P_varians,20,20,0
juvenile,P_varians,20,20,0
juvenile,P_varians,20,20,0
juvenile,P_varians,20,20,0
juvenile,P_varians,20,20,0
juvenile,P_varians,20,20,0
juvenile,P_varians,20,20,0
juvenile,P_varians,20,19,1
juvenile,P_varians,25,25,0
juvenile,P_varians,25,25,0
juvenile,P_varians,25,23,2
juvenile,P_varians,25,25,0
juvenile,P_varians,25,23,2
juvenile,P_varians,25,24,1
juvenile,P_varians,25,24,1
juvenile,P_varians,25,24,1
juvenile,P_varians,30,25,5
juvenile,P_varians,30,26,4
juvenile,P_varians,30,29,1
juvenile,P_varians,30,29,1
juvenile,P_varians,30,30,0
juvenile,P_varians,30,25,5
juvenile,P_varians,30,30,0
juvenile,P_varians,30,30,0
juvenile,P_varians,35,25,10
juvenile,P_varians,35,25,10
juvenile,P_varians,35,29,6
juvenile,P_varians,35,23,12
juvenile,P_varians,35,35,0
juvenile,P_varians,35,25,10
juvenile,P_varians,35,34,1
juvenile,P_varians,35,34,1
juvenile,P_varians,40,25,15
juvenile,P_varians,40,25,15
juvenile,P_varians,40,29,11
juvenile,P_varians,40,23,17
juvenile,P_varians,40,39,1
juvenile,P_varians,40,25,15
juvenile,P_varians,40,32,8
juvenile,P_varians,40,32,8
juvenile,P_varians,45,25,20
juvenile,P_varians,45,25,20
juvenile,P_varians,45,29,16
juvenile,P_varians,45,23,22
juvenile,P_varians,45,44,1
juvenile,P_varians,45,25,20
juvenile,P_varians,45,36,9
juvenile,P_varians,45,35,10
juvenile,P_varians,50,25,25
juvenile,P_varians,50,25,25
juvenile,P_varians,50,29,21
juvenile,P_varians,50,23,27
juvenile,P_varians,50,45,5
juvenile,P_varians,50,25,25
juvenile,P_varians,50,36,14
juvenile,P_varians,50,34,16
juvenile,P_varians,55,25,30
juvenile,P_varians,55,25,30
juvenile,P_varians,55,29,26
juvenile,P_varians,55,23,32
juvenile,P_varians,55,43,12
juvenile,P_varians,55,25,30
juvenile,P_varians,55,37,18
juvenile,P_varians,55,37,18
juvenile,P_varians,60,36,24
juvenile,P_varians,60,25,35
juvenile,P_varians,60,25,35
juvenile,P_varians,60,25,35
juvenile,P_varians,60,29,31
juvenile,P_varians,60,25,35
juvenile,P_varians,60,44,16
juvenile,P_varians,60,34,26
juvenile,N_norvegicus,2,2,0
juvenile,N_norvegicus,2,2,0
juvenile,N_norvegicus,2,2,0
juvenile,N_norvegicus,2,2,0
juvenile,N_norvegicus,2,2,0
juvenile,N_norvegicus,2,2,0
juvenile,N_norvegicus,2,2,0
juvenile,N_norvegicus,2,2,0
juvenile,N_norvegicus,4,4,0
juvenile,N_norvegicus,4,4,0
juvenile,N_norvegicus,4,4,0
juvenile,N_norvegicus,4,2,2
juvenile,N_norvegicus,4,4,0
juvenile,N_norvegicus,4,4,0
juvenile,N_norvegicus,4,4,0
juvenile,N_norvegicus,4,4,0
juvenile,N_norvegicus,6,6,0
juvenile,N_norvegicus,6,5,1
juvenile,N_norvegicus,6,5,1
juvenile,N_norvegicus,6,3,3
juvenile,N_norvegicus,6,6,0
juvenile,N_norvegicus,6,6,0
juvenile,N_norvegicus,6,6,0
juvenile,N_norvegicus,6,6,0
juvenile,N_norvegicus,8,8,0
juvenile,N_norvegicus,8,6,2
juvenile,N_norvegicus,8,8,0
juvenile,N_norvegicus,8,2,6
juvenile,N_norvegicus,8,8,0
juvenile,N_norvegicus,8,7,1
juvenile,N_norvegicus,8,8,0
juvenile,N_norvegicus,8,8,0
juvenile,N_norvegicus,12,8,4
juvenile,N_norvegicus,12,6,6
juvenile,N_norvegicus,12,8,4
juvenile,N_norvegicus,12,3,9
juvenile,N_norvegicus,12,12,0
juvenile,N_norvegicus,12,6,6
juvenile,N_norvegicus,12,12,0
juvenile,N_norvegicus,12,12,0
juvenile,N_norvegicus,16,7,9
juvenile,N_norvegicus,16,5,11
juvenile,N_norvegicus,16,7,9
juvenile,N_norvegicus,16,3,13
juvenile,N_norvegicus,16,11,5
juvenile,N_norvegicus,16,6,10
juvenile,N_norvegicus,16,15,1
juvenile,N_norvegicus,16,15,1
juvenile,N_norvegicus,20,8,12
juvenile,N_norvegicus,20,4,16
