"Date","Plants_Number(HC)","Duration_h","N_Predator","N_Prey","Predator_Length","Predator_Head_Width","Predator_Mentum_Length","Predator_WetWeight","Predator_Final_Location","N_Prey_Survivor","N_Prey_Dead","N_Prey_Eaten","Prey_WetWeight"
"'08-09-2016",0,8,1,64,23.44,4.88,4.07,0.1735,"Wall",47,5,13,
"'08-09-2016",0,8,1,64,22.63,4.89,3.87,0.1718,"Wall",52,0,12,
"'08-09-2016",0,8,1,32,21.32,4.5,3.57,0.1499,"Wall",20,1,11,
"'08-09-2016",0,8,1,8,19.28,4.45,3.74,0.1396,"Wall",1,1,6,
"'08-09-2016",0,8,1,4,19.05,4.22,3.21,0.1412,"Wall",2,0,2,
"'08-09-2016",0,8,1,8,19.16,4.34,3.5,0.1342,"Bottom",4,0,4,
"'08-09-2016",2,8,1,16,19.38,4.22,3.4,0.1352,"Vgt",8,0,8,
"'08-09-2016",2,8,1,64,22.08,4.94,3.87,0.1582,"Vgt",47,0,17,
"'08-09-2016",2,8,1,4,21.36,4.52,3.48,0.1412,"Vgt",0,0,4,
"'08-09-2016",1,8,1,16,19.99,4.28,3.33,0.1326,"Vgt",10,0,6,
"'08-09-2016",4,8,1,2,21.21,4.96,4.07,0.1765,"Vgt",0,0,2,
"'08-09-2016",0,8,1,64,21.06,4.38,3.44,0.14,"Wall",55,0,9,
"'08-09-2016",8,8,1,32,23.05,5.08,4,0.1738,"Vgt",21,0,11,
"'08-09-2016",4,8,1,2,19.31,4.51,3.66,0.1364,"Vgt",0,0,2,
"'08-09-2016",0,8,1,4,20.24,4.52,3.74,0.152,"Bottom",1,0,3,
"'08-09-2016",0,8,1,2,19.16,4.48,3.47,0.1377,"Wall",0,0,2,
"'08-09-2016",8,8,1,32,19.08,4.41,3.31,0.1415,"Vgt",24,1,7,
"'08-09-2016",1,8,1,64,18.74,4.28,3.48,0.132,"Vgt",54,0,10,
"'08-09-2016",0,8,1,32,18.83,4.45,3.58,0.1452,"Wall",25,1,6,
"'08-09-2016",8,8,1,32,19.76,4.28,3.33,0.1324,"Vgt",23,0,9,
"'08-09-2016",4,8,1,16,18.58,4.45,3.8,0.1474,"Vgt",10,0,6,
"'08-09-2016",4,8,1,8,20.84,4.54,3.63,0.1348,"Vgt",0,0,8,
"'08-09-2016",0,8,1,32,23.05,4.98,3.97,0.1792,"Wall",25,0,7,
"'08-09-2016",8,8,1,16,20.19,4.3,3.53,0.1323,"Vgt",9,0,7,
"'08-09-2016",1,8,1,4,19.07,4.11,3.25,0.1488,"Vgt",0,0,4,
"'08-09-2016",4,8,1,16,22.76,4.93,3.97,0.1632,"Vgt",5,0,11,
"'08-09-2016",2,8,1,16,18.89,4.12,3.05,0.1344,"Vgt",7,0,9,
"'08-09-2016",4,8,1,8,20.06,4.26,3.3,0.1445,"Vgt",6,0,2,
"'09-09-2016",1,8,1,32,20.37,4.37,3.49,0.1422,"Vgt",24,0,8,
"'09-09-2016",1,8,1,2,20.35,5.06,4.21,0.1854,"Vgt",0,0,2,
"'09-09-2016",2,8,1,32,21.86,4.52,3.49,0.1385,"Vgt",17,1,14,
"'09-09-2016",4,8,1,64,26.28,5.27,4.35,0.122,"Vgt",43,0,21,
"'09-09-2016",0,8,1,64,20.44,4.27,3.5,0.1825,"Wall",56,0,8,
"'09-09-2016",4,8,1,16,23.81,5.07,4.12,0.186,"Vgt",6,0,10,
"'09-09-2016",4,8,1,16,22.59,5.07,4.09,0.1201,"Vgt",5,0,11,
"'09-09-2016",0,8,1,8,18.91,4.44,3.56,0.1743,"Wall",2,0,6,
"'09-09-2016",4,8,1,16,18.03,4.21,3.34,0.1285,"Vgt",10,0,6,
"'09-09-2016",8,8,1,64,22.35,5.07,3.99,0.1436,"Vgt",45,0,19,
"'09-09-2016",1,8,1,8,21.39,4.96,4.06,0.1592,"Vgt",1,2,7,
"'09-09-2016",8,8,1,64,20.67,4.96,4.05,0.1514,"Vgt",48,8,11,
"'09-09-2016",2,8,1,2,20.44,5.08,4.15,0.1695,"Vgt",0,4,2,
"'09-09-2016",1,8,1,8,21.72,4.63,3.76,0.1548,"Bottom",0,5,8,
"'09-09-2016",2,8,1,4,20.41,4.98,4.1,0.1661,"Vgt",0,7,4,
"'09-09-2016",8,8,1,64,19.78,4.96,3.82,0.1676,"Vgt",55,11,9,
"'09-09-2016",4,8,1,64,24.87,5.08,4.06,0.1673,"Vgt",44,12,20,
"'09-09-2016",4,8,1,8,21.12,4.96,4.04,0.1569,"Vgt",1,13,7,
"'09-09-2016",1,8,1,4,21.06,5.05,3.96,0.1878,"Vgt",0,14,4,
"'09-09-2016",0,8,1,4,19.77,4.96,3.9,0.1802,"Wall",1,15,3,
"'09-09-2016",2,8,1,2,20.38,5.01,3.97,0.1734,"Vgt",1,16,1,
"'09-09-2016",8,8,1,32,21.81,4.47,3.51,0.1532,"Vgt",29,17,3,
"'09-09-2016",2,8,1,16,21.18,4.47,3.61,0.1364,"Vgt",9,18,7,
"'09-09-2016",1,8,1,64,19.89,4.49,3.38,0.1497,"Vgt",58,19,6,
"'09-09-2016",8,8,1,64,20.59,4.37,3.41,0.1366,"Vgt",56,21,7,
"'09-09-2016",0,8,1,2,19.2,4.44,3.55,0.1337,"Bottom",0,22,2,
"'09-09-2016",1,8,1,4,21.27,4.57,3.6,0.1598,"Vgt",0,24,4,
"'09-09-2016",8,8,1,16,21.24,4.47,3.56,0.1432,"Vgt",8,25,8,
"'09-09-2016",2,8,1,32,22.66,4.6,3.8,0.1661,"Vgt",23,26,9,
"'09-09-2016",2,8,1,8,20.36,4.92,4.01,0.1818,"Vgt",1,30,7,
"'09-09-2016",8,8,1,16,21.44,4.45,3.31,0.161,"Vgt",11,32,5,
"'09-09-2016",8,8,1,2,19.92,5.06,3.96,0.1734,"Bottom",0,35,2,
"'11-09-2016",0,8,1,32,22.26,4.91,4.03,0.1788,"Wall",27,0,5,
"'11-09-2016",1,8,1,4,22.41,5.05,4.01,0.1604,"Vgt",0,0,4,
"'11-09-2016",2,8,1,64,22.54,5.01,3.87,0.1651,"Vgt",49,1,14,
"'11-09-2016",2,8,1,64,23.31,4.99,4.05,0.1677,"Vgt",54,1,9,
"'11-09-2016",1,8,1,32,23.81,4.85,3.8,0.1537,"Vgt",26,0,6,
"'11-09-2016",2,8,1,2,22.46,5.05,4.16,0.1665,"Vgt",0,0,2,
"'11-09-2016",1,8,1,64,19.56,4.39,3.46,0.1289,"Vgt",55,0,9,
"'11-09-2016",2,8,1,16,22.97,4.97,4.06,0.1634,"Vgt",8,0,8,
"'11-09-2016",4,8,1,64,25.09,5.1,4.15,0.1625,"Vgt",49,3,14,
"'11-09-2016",0,8,1,8,21.46,4.48,3.78,0.1633,"Bottom",5,0,3,
"'11-09-2016",4,8,1,32,20.93,4.52,3.9,0.1448,"Vgt",20,0,12,
"'11-09-2016",4,8,1,16,23.75,4.58,3.62,0.1697,"Vgt",10,0,6,
"'11-09-2016",4,8,1,32,20.82,4.51,3.45,0.1467,"Vgt",24,1,8,
"'11-09-2016",2,8,1,2,20.81,4.54,3.64,0.1512,"Vgt",0,0,2,
"'11-09-2016",1,8,1,32,21,4.43,3.53,0.1328,"Vgt",23,0,9,
"'11-09-2016",8,8,1,64,20.33,4.5,3.6,0.1482,"Vgt",57,0,7,
"'11-09-2016",2,8,1,2,18.4,4.95,4.03,0.15,"Vgt",1,0,1,
"'11-09-2016",2,8,1,16,20.71,4.97,3.86,0.1528,"Vgt",7,0,9,
"'11-09-2016",8,8,1,8,21.39,5.12,3.98,0.1616,"Vgt",0,0,8,
"'11-09-2016",2,8,1,32,21.92,5.02,4.1,0.1628,"Vgt",18,0,14,
"'11-09-2016",0,8,1,8,21.73,5,4.12,0.1646,"Wall",2,0,6,
"'11-09-2016",1,8,1,64,19.71,4.45,3.54,0.1637,"Vgt",57,0,7,
"'11-09-2016",0,8,1,16,20.29,5.14,4.21,0.1751,"Wall",10,0,6,
"'12-09-2016",8,8,1,16,20.24,4.36,3.43,0.1256,"Vgt",8,0,8,
"'12-09-2016",8,8,1,2,21.01,4.92,4.02,0.1669,"Vgt",0,0,2,
"'12-09-2016",2,8,1,4,21.96,4.63,3.72,0.1557,"Vgt",0,0,4,
"'12-09-2016",2,8,1,32,21.91,4.56,3.52,0.1291,"Vgt",19,1,13,
"'12-09-2016",0,8,1,2,22.45,5.08,4.07,0.1768,"Bottom",0,0,2,
"'12-09-2016",0,8,1,2,21.4,4.97,3.89,0.1773,"Wall",0,0,2,
"'12-09-2016",0,8,1,64,23.1,4.98,4.17,0.1728,"Wall",52,0,12,
"'12-09-2016",1,8,1,2,23.31,4.98,4.02,0.1672,"Vgt",0,0,2,
"'12-09-2016",4,8,1,4,19.73,4.82,3.9,0.1489,"Vgt",0,0,4,
"'12-09-2016",4,8,1,8,22.67,5,4.18,0.1654,"Vgt",2,0,6,
"'12-09-2016",1,8,1,8,23.95,5.07,4.07,0.1803,"Vgt",0,0,8,
"'12-09-2016",8,8,1,4,21.41,4.45,3.54,0.146,"Vgt",0,0,4,
"'12-09-2016",1,8,1,64,20.68,4.49,3.63,0.1368,"Vgt",54,0,10,
"'12-09-2016",1,8,1,64,21.79,5.09,4.06,0.1748,"Vgt",48,1,15,
"'12-09-2016",8,8,1,2,19.39,4.85,3.97,0.1768,"Vgt",1,0,1,
"'12-09-2016",8,8,1,32,22.27,5.16,4.1,0.1724,"Vgt",17,0,15,
"'12-09-2016",8,8,1,32,20.56,4.97,3.94,0.1553,"Vgt",20,0,12,
"'12-09-2016",0,8,1,2,20.62,5,3.91,0.1734,"Bottom",0,0,2,
"'12-09-2016",1,8,1,2,18.27,4.41,3.55,0.131,"Vgt",1,0,1,
"'12-09-2016",2,8,1,8,21.84,5.09,4.16,0.1708,"Vgt",1,0,7,
"'12-09-2016",2,8,1,4,22.19,5.12,4.03,0.1807,"Vgt",0,0,4,
"'12-09-2016",1,8,1,32,21.51,4.98,4.1,0.1545,"Vgt",24,0,8,
"'12-09-2016",8,8,1,32,23.27,5.09,4.22,0.1778,"Vgt",17,0,15,
"'12-09-2016",1,8,1,8,23,4.93,3.99,0.1694,"Vgt",0,0,8,
"'12-09-2016",8,8,1,2,19.95,5.03,4.07,0.1641,"Vgt",0,0,2,
"'12-09-2016",2,8,1,32,21.66,5.1,4.06,0.1795,"Vgt",23,0,9,
"'12-09-2016",1,8,1,32,21.1,4.98,4.03,0.1499,"Vgt",21,1,10,
"'12-09-2016",4,8,1,4,19.89,4.42,3.62,0.1355,"Vgt",0,0,4,
"'12-09-2016",4,8,1,32,19.06,4.41,3.54,0.1333,"Vgt",28,0,4,
"'12-09-2016",8,8,1,8,19.59,4.02,3.26,0.137,"Vgt",7,0,1,
"'12-09-2016",4,8,1,32,18.8,4.18,3.26,0.1349,"Vgt",28,0,4,
"'12-09-2016",2,8,1,8,19.05,4.34,3.43,0.1383,"Vgt",1,0,7,
"'12-09-2016",0,8,1,4,21.64,4.99,4.03,0.1799,"Bottom",0,0,4,
"'12-09-2016",2,8,1,4,17.16,4.29,3.43,0.1342,"Vgt",1,0,3,
"'12-09-2016",1,8,1,4,17.39,4.35,3.38,0.1316,"Vgt",3,0,1,
"'12-09-2016",2,8,1,16,20.67,5.03,4.04,0.1701,"Vgt",6,0,10,
"'13-09-2016",0,8,1,64,20.51,4.47,3.43,0.1389,"Wall",50,3,11,
"'13-09-2016",2,8,1,2,21.39,5.04,4.25,0.1656,"Vgt",0,0,2,
"'13-09-2016",8,8,1,2,21.11,5.03,4.15,0.1614,"Vgt",0,0,2,
"'13-09-2016",2,8,1,32,19.83,4.22,3.27,0.13,"Vgt",25,1,6,
"'13-09-2016",4,8,1,16,21.6,5.02,4.06,0.1643,"Vgt",4,0,12,
"'13-09-2016",0,8,1,2,20.68,4.94,3.91,0.1706,"Bottom",0,0,2,
"'13-09-2016",8,8,1,16,21.73,5.02,4.22,0.1778,"Vgt",6,1,10,
"'13-09-2016",8,8,1,64,22.46,4.71,3.81,0.1745,"Vgt",48,3,15,
"'13-09-2016",4,8,1,4,19.58,4.52,3.52,0.1383,"Vgt",0,0,4,
"'13-09-2016",2,8,1,2,19.39,4.47,3.62,0.1363,"Vgt",0,0,2,
"'13-09-2016",2,8,1,64,20.34,5.03,4.1,0.1613,"Vgt",50,2,13,
"'13-09-2016",4,8,1,64,22.41,4.98,4,0.1605,"Vgt",54,0,10,
"'13-09-2016",2,8,1,8,20.03,4.86,3.86,0.15,"Vgt",3,0,5,
"'13-09-2016",1,8,1,8,19.74,4.28,3.55,0.1298,"Vgt",2,0,6,
"'13-09-2016",4,8,1,32,20.41,4.9,4.01,0.1702,"Vgt",16,1,15,
"'13-09-2016",4,8,1,32,20.14,4.22,3.22,0.13,"Vgt",27,1,4,
"'13-09-2016",0,8,1,64,20.4,4.88,3.94,0.1563,"Wall",54,0,10,
"'13-09-2016",0,8,1,128,20.31,4.37,3.54,0.1311,"Wall",116,3,9,
"'13-09-2016",4,8,1,8,19.38,4.42,3.47,0.1342,"Vgt",2,0,6,
"'13-09-2016",4,8,1,8,21,4.98,3.87,0.1646,"Vgt",0,0,8,
"'13-09-2016",1,8,1,128,20.75,4.85,3.82,0.1518,"Vgt",116,1,12,
"'13-09-2016",8,8,1,4,19.42,4.88,4.03,0.1498,"Vgt",1,0,3,
"'13-09-2016",4,8,1,32,21.8,4.92,3.92,0.1659,"Vgt",18,1,13,
"'13-09-2016",1,8,1,16,20.22,4.32,3.38,0.1294,"Vgt",8,0,8,
"'13-09-2016",4,8,1,16,20.51,4.51,3.75,0.1295,"Vgt",5,2,9,
"'13-09-2016",2,8,1,128,21.19,4.92,3.98,0.1656,"Vgt",110,2,18,
"'13-09-2016",2,8,1,128,21.67,5.02,4.09,0.1659,"Vgt",107,0,21,
"'13-09-2016",8,8,1,16,21.03,4.62,3.71,0.1492,"Vgt",2,0,14,
"'13-09-2016",8,8,1,8,17.98,4.32,3.4,0.1516,"Vgt",2,0,6,
"'13-09-2016",0,8,1,4,20.94,4.38,3.54,0.1335,"Bottom",2,0,2,
"'13-09-2016",4,8,1,8,21.12,4.44,3.45,0.1495,"Vgt",4,0,4,
"'13-09-2016",1,8,1,8,20.14,4.87,3.97,0.1489,"Vgt",0,0,8,
"'13-09-2016",4,8,1,2,19.87,4.85,3.94,0.1574,"Vgt",0,0,2,
"'13-09-2016",0,8,1,16,19.2,4.28,3.41,0.1338,"Wall",8,2,6,
"'13-09-2016",4,8,1,128,21.54,4.5,3.45,0.1453,"Vgt",112,4,12,
"'13-09-2016",4,8,1,4,18.64,4.6,3.62,0.1438,"Vgt",0,0,4,
"'14-09-2016",0,8,1,128,23.08,4.98,3.91,0.1566,"Wall",120,1,7,
"'14-09-2016",4,8,1,128,22.64,5.01,4.08,0.1741,"Vgt",116,1,11,
"'14-09-2016",0,8,1,32,23.26,5.17,4.08,0.1833,"Wall",18,0,14,
"'14-09-2016",4,8,1,4,22.15,5.1,4.17,0.1724,"Vgt",0,0,4,
"'14-09-2016",1,8,1,64,24.43,5.1,4.16,0.1827,"Vgt",49,0,15,
"'14-09-2016",8,8,1,4,22.85,4.95,3.93,0.1705,"Vgt",0,0,4,
"'14-09-2016",0,8,1,16,22.59,5.02,3.99,0.1651,"Wall",3,0,13,
"'14-09-2016",1,8,1,32,19.82,4.26,3.37,0.1311,"Vgt",25,3,4,
"'14-09-2016",0,8,1,2,22.08,5.05,4.13,0.1727,"Wall",1,0,1,
"'14-09-2016",0,8,1,128,21.38,5.02,3.88,0.1682,"Wall",116,0,12,
"'14-09-2016",0,8,1,4,23.88,5.12,4.14,0.1745,"Wall",0,0,4,
"'14-09-2016",1,8,1,16,22.67,4.97,3.99,0.1817,"Vgt",13,0,3,
"'14-09-2016",4,8,1,2,20.42,4.44,3.52,0.133,"Vgt",0,0,2,
"'14-09-2016",0,8,1,64,23.33,4.92,3.92,0.1596,"Wall",55,0,9,
"'14-09-2016",2,8,1,8,23.44,4.98,3.91,0.1706,"Vgt",0,0,8,
"'14-09-2016",4,8,1,128,23.34,4.98,3.84,0.1726,"Vgt",110,5,14,
"'14-09-2016",2,8,1,8,19.07,4.22,3.19,0.1383,"Vgt",5,0,3,
