,"Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,12,3.6,0.29,12,24
"2",1,17,4.96,0.32,12,24
"3",1,24,5.62,0.42,12,24
"4",1,36,6.37,0.38,12,24
"5",1,50,7.96,0.51,12,24
"6",1,70,8.21,0.38,12,24
"7",2,24,14.39,1.25,6,24
"8",2,35,17.42,1.37,6,24
"9",2,50,20.94,1.56,6,24
"10",2,70,20.17,1.47,6,24
"11",2,100,26.08,1.38,6,24
"12",2,140,25.12,1.43,6,24
"13",4,35,26.1,0.52,4,24
"14",4,49,34.32,2.08,4,24
"15",4,70,38.94,4.01,4,24
"16",4,100,41.69,2.95,4,24
"17",4,141,46.84,3.95,4,24
"18",4,198,42.52,2.96,4,24
"19",6,40,31.94,0.95,3,24
"20",6,58,36.65,1.87,3,24
"21",6,80,49.58,2.44,3,24
"22",6,114,62.07,3.85,3,24
"23",6,160,59.82,5,3,24
"24",6,224,63.41,5.57,3,24
"25",8,44,37.86,0,3,24
"26",8,63,47.91,0,3,24
"27",8,88,57.46,3.93,3,24
"28",8,127,71.67,3.46,3,24
"29",8,180,65.42,5.26,3,24
"30",8,252,73.54,4.46,3,24
"1",1,2,1.16,0.2,14,24
"2",1,5,1.95,0.26,14,24
"3",1,12,3.16,0.31,14,24
"4",1,21,3.76,0.37,14,24
"5",1,33,4.62,0.44,14,24
"6",1,50,5.11,0.31,14,24
"7",2,7,4.04,0.66,7,24
"8",2,12,5.33,0.51,7,24
"9",2,18,6.5,0.8,7,24
"10",2,30,8.87,1.45,7,24
"11",2,48,9.27,0.79,7,24
"12",2,70,10.45,1.47,7,24
"13",4,10,7.66,0.98,5,24
"14",4,15,9.99,0.79,5,24
"15",4,25,11.52,1.53,5,24
"16",4,40,12.05,0.8,5,24
"17",4,60,16.39,1.2,5,24
"18",4,90,18.1,1.46,5,24
"19",6,20,12.41,1.69,4,24
"20",6,30,16.95,1.84,4,24
"21",6,40,19.52,3.17,4,24
"22",6,60,21.42,0.77,4,24
"23",6,80,22.39,1.73,4,24
"24",6,120,24.83,1.15,4,24
"25",8,25,16.82,1.28,4,24
"26",8,35,19.26,0.98,4,24
"27",8,50,21.3,1.34,4,24
"28",8,70,26.34,2.35,4,24
"29",8,100,29.21,2.88,4,24
"30",8,140,30.1,2.98,4,24
"1",1,3,1.27,0.28,14,24
"2",1,7,2.07,0.39,14,24
"3",1,15,3.01,0.53,14,24
"4",1,25,3.4,0.51,14,24
"5",1,40,3.95,0.38,14,24
"6",1,60,5.53,0.62,14,24
"7",1,90,5.33,0.51,14,24
"8",2,5,3.14,0.25,10,24
"9",2,8,4.01,0.6,10,24
"10",2,15,6.36,0.97,10,24
"11",2,30,7.74,0.88,10,24
"12",2,51,10.01,0.85,10,24
"13",2,91,11.1,1.02,10,24
"14",4,10,9.28,0.75,7,24
"15",4,16,11.83,1.58,7,24
"16",4,25,16.23,1.9,7,24
"17",4,45,23.15,2.63,7,24
"18",4,75,26.28,2.6,7,24
"19",4,110,26.07,1.47,7,24
"20",8,30,17.64,2.15,4,24
"21",8,36,22,1.6,4,24
"22",8,45,24.42,4.22,4,24
"23",8,60,32.7,4.54,4,24
"24",8,86,38.76,2.92,4,24
"25",8,125,39.68,1.29,4,24
"1",1,6,3.19,0.5,18,10
"2",1,12,5.25,0.69,18,10
"3",1,18,4.97,0.65,18,10
"4",1,25,6.77,1.06,18,10
"5",1,36,7.17,0.58,18,10
"6",1,50,8.26,0.78,18,10
"7",1,70,9.89,1.15,18,10
"8",2,11,5.81,1.33,7,10
"9",2,25,7.84,1.03,7,10
"10",2,36,12.44,1.32,7,10
"11",2,50,14.19,0.99,7,10
"12",2,70,13.85,1.61,7,10
"13",2,100,12.5,1.2,7,10
"14",2,140,14.47,2.09,7,10
"15",4,16,10.86,0.87,5,10
"16",4,32,19.5,3.98,5,10
"17",4,45,23.9,4.91,5,10
"18",4,63,24.78,2.57,5,10
"19",4,91,24.81,2.18,5,10
