"rep","weed","prey","pred","eaten"
1,0,4,"loc",2
1,0,32,"loc",4
1,0,16,"loc",4
1,10,32,"loc",9
1,10,2,"loc",1
1,10,4,"loc",4
1,10,8,"loc",4
1,10,16,"loc",4
1,0,2,"loc",2
1,0,8,"loc",7
2,10,32,"loc",3
2,0,4,"loc",1
2,10,16,"loc",5
2,0,8,"loc",5
2,10,2,"loc",2
2,0,2,"loc",2
2,0,32,"loc",8
2,0,16,"loc",7
2,10,4,"loc",4
2,10,8,"loc",4
3,10,32,"loc",3
3,10,8,"loc",4
3,0,16,"loc",13
3,10,16,"loc",9
3,0,8,"loc",8
3,10,4,"loc",4
3,0,32,"loc",16
3,10,2,"loc",2
3,0,4,"loc",4
3,0,2,"loc",2
1,10,8,"mae",7
1,0,8,"mae",1
1,0,2,"mae",2
1,10,32,"mae",11
1,10,4,"mae",3
1,0,32,"mae",9
1,0,4,"mae",4
1,10,2,"mae",2
1,0,16,"mae",8
1,10,16,"mae",5
2,0,8,"mae",4
2,10,2,"mae",1
2,10,32,"mae",2
2,10,4,"mae",3
2,0,32,"mae",11
2,0,16,"mae",11
2,10,8,"mae",6
2,0,2,"mae",2
2,10,16,"mae",13
2,0,4,"mae",4
3,0,8,"mae",8
3,10,32,"mae",6
3,10,2,"mae",2
3,0,4,"mae",3
3,10,16,"mae",4
3,0,32,"mae",6
3,10,4,"mae",1
3,10,8,"mae",2
3,0,2,"mae",2
3,0,16,"mae",15
1,0,2,"tig",1
1,10,8,"tig",3
1,0,16,"tig",6
1,0,4,"tig",4
1,10,4,"tig",4
1,10,32,"tig",5
1,10,16,"tig",2
1,0,8,"tig",3
1,10,2,"tig",1
1,0,32,"tig",4
2,0,8,"tig",4
2,10,4,"tig",2
2,10,16,"tig",6
2,0,16,"tig",8
2,0,32,"tig",7
2,10,8,"tig",4
2,0,2,"tig",2
2,10,32,"tig",9
2,0,4,"tig",4
2,10,2,"tig",2
3,0,4,"tig",4
3,0,16,"tig",5
3,0,8,"tig",4
3,10,16,"tig",4
3,0,2,"tig",2
3,10,4,"tig",3
3,10,8,"tig",2
3,0,32,"tig",15
3,10,2,"tig",2
3,10,32,"tig",11
