N0,Neaten,R
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,2,2.31481481481481E-05
3,2,2.31481481481481E-05
3,1,1.15740740740741E-05
3,0,0
3,0,0
3,0,0
5,1,1.15740740740741E-05
5,2,2.31481481481481E-05
5,4,4.62962962962963E-05
5,1,1.15740740740741E-05
5,1,1.15740740740741E-05
5,0,0
10,2,2.31481481481481E-05
10,2,2.31481481481481E-05
10,3,3.47222222222222E-05
10,2,2.31481481481481E-05
10,0,0
10,6,6.94444444444444E-05
20,2,2.31481481481481E-05
20,5,5.78703703703704E-05
20,0,0
20,5,5.78703703703704E-05
20,6,6.94444444444444E-05
20,14,0.000162037037037
40,10,0.000115740740741
40,14,0.000162037037037
40,15,0.000173611111111
40,25,0.000289351851852
40,11,0.000127314814815
40,26,0.000300925925926
80,10,0.000115740740741
80,13,0.000150462962963
80,19,0.000219907407407
80,11,0.000127314814815
80,21,0.000243055555556
80,30,0.000347222222222
120,32,0.00037037037037
120,26,0.000300925925926
120,11,0.000127314814815
120,18,0.000208333333333
120,21,0.000243055555556
120,17,0.000196759259259
160,18,0.000208333333333
160,34,0.000393518518519
160,28,0.000324074074074
160,16,0.000185185185185
160,26,0.000300925925926
160,32,0.00037037037037
