"Scale","ID","FR_SD","FR_MEAN","FR_CV","Comments"
"DIVE",1,0.018831254,0.025226932,0.746474203,
"DIVE",2,0.012111671,0.01945551,0.622531653,
"DIVE",3,0.008604126,0.019427616,0.442881196,
"DIVE",4,0.031262091,0.027850574,1.12249362,
"DIVE",5,0.014927087,0.014941392,0.999042545,
"DIVE",6,0.013438115,0.014992554,0.896319316,
"DIVE",7,0.011904372,0.016039247,0.742202675,
"DIVE",8,0.008307721,0.013741137,0.604587574,
"DIVE",9,0.022556931,0.034462432,0.654536837,
"DIVE",10,0.015341211,0.032796181,0.467774315,
"DIVE",11,0.016054022,0.039496488,0.406467071,
"BOUT",1,0.008550512,0.019648406,0.435175877,
"BOUT",2,0.007946843,0.016913482,0.469852554,
"BOUT",3,0.003956737,0.015590991,0.253783571,
"BOUT",4,0.01778987,0.028727453,0.619263755,
"BOUT",5,0.000671423,0.012849395,0.052253238,
"BOUT",6,0.002846646,0.016505636,0.172465069,
"BOUT",7,0.010912142,0.007716049,1.414213562,
"BOUT",8,0.003387068,0.012227438,0.277005498,
"BOUT",9,0.001574466,0.036386684,0.043270394,
"BOUT",10,0.012475919,0.041540889,0.300328647,
"BOUT",11,,0.039846743,,"this animal made only one foraging bout"
