Season,PenguinID,Diveduration(s),Divedepth(m),Nokrillcaptured,R
2010/11,52_28a,67,9,1,1.493
2010/11,52_28a,118,21.6,7,5.935
2010/11,52_28a,112,15.4,8,7.146
2010/11,52_28a,100,12.79,3,3.001
2010/11,52_28a,111,19.3,6,5.408
2010/11,52_28a,118,20.89,2,1.696
2010/11,52_28a,89,21.89,1,1.124
2010/11,52_28a,74,28.8,1,1.352
2010/11,52_28a,90,31,3,3.335
2010/11,52_28a,67,15.19,1,1.493
2010/11,52_28a,120,26.19,7,5.836
2010/11,52_28a,122,14.8,2,1.64
2010/11,52_28a,58,30.79,1,1.725
2010/11,52_28a,94,41.3,2,2.128
2010/11,52_28a,85,40.79,2,2.354
2010/11,52_28a,102,22.2,4,3.923
2010/11,52_28a,48,24.9,1,2.084
2010/11,52_28a,98,35.3,4,4.083
2010/11,52_28a,82,13.8,1,1.22
2010/11,52_28a,117,49.79,3,2.565
2010/11,52_28a,123,44.99,4,3.253
2010/11,52_28a,112,59.39,8,7.146
2010/11,52_28a,100,59.99,3,3.001
2010/11,52_28a,117,61,6,5.13
2010/11,52_28a,121,63.19,8,6.614
2010/11,52_28a,113,58.2,8,7.082
2010/11,52_28a,108,60.39,12,11.116
2010/11,52_28a,132,65,14,10.61
2010/11,52_28a,119,65.9,7,5.885
2010/11,52_28a,123,64.29,6,4.88
2010/11,52_28a,121,64.99,8,6.614
2010/11,52_28a,132,70.7,12,9.095
2010/11,52_28a,101,58.49,8,7.924
2010/11,52_28a,109,64.2,9,8.26
2010/11,52_28a,126,64.59,10,7.94
2010/11,52_28a,39,39.2,4,10.26
2010/11,52_28a,113,54.29,5,4.427
2010/11,52_28a,120,60.59,9,7.503
2010/11,52_28a,111,58.39,12,10.815
2010/11,52_28a,112,59.3,9,8.039
2010/11,52_28a,105,61.4,5,4.764
2010/11,52_28a,107,58,13,12.154
2010/11,52_28a,125,58.79,12,9.604
2010/11,52_28a,110,58.99,3,2.728
2010/11,52_28a,110,49.69,10,9.095
2010/11,52_28a,98,51.59,4,4.083
2010/11,52_28a,100,55.1,5,5.002
2010/11,52_28a,101,55.09,7,6.933
2010/11,52_28a,93,56.79,7,7.53
2010/11,52_28a,105,63.4,6,5.717
2010/11,52_28a,110,55.4,6,5.457
2010/11,52_28a,93,55.69,10,10.757
2010/11,52_30a,97,14.1,2,2.062
2010/11,52_30a,76,15.7,2,2.632
2010/11,52_30a,76,12.1,1,1.316
2010/11,52_30a,173,71.1,4,2.312
2010/11,52_30a,186,64.3,1,0.538
2010/11,52_30a,163,71.9,3,1.841
2010/11,52_30a,171,73.4,7,4.094
2010/11,52_30a,172,72.4,4,2.326
2010/11,52_30a,189,73.1,1,0.529
2010/11,52_30a,187,80.5,7,3.743
2010/11,52_30a,162,72.9,9,5.556
2010/11,52_30a,173,74.5,6,3.468
2010/11,52_30a,180,72.2,4,2.222
2010/11,52_30a,158,76.2,4,2.532
2010/11,52_30a,181,78.3,6,3.315
2010/11,52_30a,174,75.5,1,0.575
2010/11,52_30a,122,32.2,1,0.82
2010/11,52_30a,164,71,10,6.098
2010/11,52_30a,172,72,5,2.907
2010/11,52_30a,164,72.1,6,3.659
2010/11,52_30a,170,71.7,6,3.529
2010/11,52_30a,161,72.4,3,1.863
2010/11,52_30a,162,73.5,12,7.408
2010/11,52_30a,175,72.9,8,4.571
2010/11,52_30a,158,71.5,3,1.899
2010/11,52_30a,154,74.1,5,3.247
2010/11,52_30a,158,75.9,3,1.899
2010/11,52_30a,174,78.4,8,4.598
2010/11,52_30a,159,75.7,4,2.516
2010/11,52_30a,176,74.5,9,5.114
2010/11,52_30a,177,67.9,2,1.13
2010/11,52_30a,134,47,1,0.746
2010/11,52_30a,190,66.4,7,3.684
2010/11,52_30a,172,74.1,6,3.488
2010/11,52_30a,184,75.3,12,6.522
2010/11,52_30a,160,76.5,10,6.25
2010/11,52_30a,176,77.6,5,2.841
2010/11,52_30a,180,80.4,6,3.333
2010/11,52_30a,190,76.9,4,2.105
2010/11,52_30a,165,74.8,8,4.849
2010/11,52_30a,193,76.2,6,3.109
2010/11,52_30a,182,75.9,10,5.495
2010/11,52_30a,167,72.1,4,2.395
