"Dataset","Source","Predator","PredatorWeight(g)","Prey","PreyWeight(g)","density2D(m2)","relativeDensity2D","density3D(m3)","relativeDensity3D","ForagingRate","DataType","SampleSize","DataNumber","Ratio"
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,12,"RawData",10,2,0.2
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,2,0.2
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,20,"RawData",10,2,0.2
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,24,"RawData",10,2,0.2
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,24,"RawData",10,4,0.4
