Block,Spider_ID,Stage,Spider_ wgt,Pre-treatment_flies,Test_flies,Density,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Total,R
1,1,Adult,0.0271,Suc,Suc,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,2,Adult,0.0269,Suc,Suc,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,3,Adult,0.025,Suc,Suc,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
2,1,Adult,0.0301,Suc,Suc,2,2,2,2,2,1,2,2,13,2.1494708994709E-05
2,2,Adult,0.0308,Suc,Suc,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
2,3,Adult,0.0344,Suc,Suc,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,4,Adult,0.0242,Suc,Suc,5,5,5,5,5,5,5,5,35,5.78703703703704E-05
1,5,Adult,0.0203,Suc,Suc,5,5,5,4,5,5,5,2,31,5.12566137566138E-05
1,6,Adult,0.0246,Suc,Suc,5,5,2,2,2,2,2,0,15,2.48015873015873E-05
2,4,Adult,0.0211,Suc,Suc,5,4,5,5,4,3,4,3,28,4.62962962962963E-05
2,5,Adult,0.0257,Suc,Suc,5,2,0,3,4,3,4,5,21,3.47222222222222E-05
2,6,Adult,0.031,Suc,Suc,5,5,5,5,4,5,5,5,34,5.62169312169312E-05
1,7,Adult,0.0224,Suc,Suc,10,7,4,2,2,3,4,2,24,3.96825396825397E-05
1,8,Adult,0.0252,Suc,Suc,10,10,6,6,5,3,1,3,34,5.62169312169312E-05
1,9,Adult,0.0254,Suc,Suc,10,10,10,8,1,1,4,3,37,6.11772486772487E-05
2,7,Adult,0.0284,Suc,Suc,10,8,10,6,8,3,3,2,40,6.61375661375661E-05
2,8,Adult,0.0245,Suc,Suc,10,10,9,8,9,5,3,7,51,8.43253968253968E-05
2,9,Adult,0.0396,Suc,Suc,10,9,10,4,9,4,2,8,46,7.60582010582011E-05
1,10,Adult,0.0298,Suc,Suc,15,14,5,3,2,2,6,4,36,5.95238095238095E-05
1,11,Adult,0.0325,Suc,Suc,15,15,10,5,1,5,4,3,43,7.10978835978836E-05
1,12,Adult,0.0239,Suc,Suc,15,5,1,3,0,3,5,1,18,2.97619047619048E-05
2,10,Adult,0.0301,Suc,Suc,15,12,1,8,0,5,1,9,36,5.95238095238095E-05
2,11,Adult,0.0255,Suc,Suc,15,15,15,3,2,4,6,4,49,8.10185185185185E-05
2,12,Adult,0.031,Suc,Suc,15,6,11,2,5,2,6,2,34,5.62169312169312E-05
1,13,Adult,0.0252,Suc,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,14,Adult,0.0237,Suc,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,15,Adult,0.0277,Suc,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
2,13,Adult,0.0329,Suc,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
2,14,Adult,0.0256,Suc,Cas,2,2,2,2,2,2,1,2,13,2.1494708994709E-05
2,15,Adult,0.0348,Suc,Cas,2,2,2,2,1,2,2,2,13,2.1494708994709E-05
1,16,Adult,0.0205,Suc,Cas,5,4,2,0,1,0,0,1,8,1.32275132275132E-05
1,17,Adult,0.0362,Suc,Cas,5,5,5,5,5,5,5,5,35,5.78703703703704E-05
1,18,Adult,0.0236,Suc,Cas,5,4,5,4,4,1,4,2,24,3.96825396825397E-05
2,16,Adult,0.0282,Suc,Cas,5,4,4,4,5,5,4,4,30,4.96031746031746E-05
2,17,Adult,0.0311,Suc,Cas,5,5,5,5,5,5,5,5,35,5.78703703703704E-05
2,18,Adult,0.0302,Suc,Cas,5,5,4,5,5,4,5,5,33,5.45634920634921E-05
1,19,Adult,0.0354,Suc,Cas,10,6,1,7,7,9,3,6,39,6.4484126984127E-05
1,20,Adult,0.041,Suc,Cas,10,10,7,2,2,3,0,5,29,4.79497354497355E-05
1,21,Adult,0.0291,Suc,Cas,10,4,1,1,3,1,3,1,14,2.31481481481481E-05
2,19,Adult,0.0243,Suc,Cas,10,9,10,5,9,9,6,9,57,9.42460317460317E-05
2,20,Adult,0.033,Suc,Cas,10,8,10,9,7,2,0,2,38,6.28306878306878E-05
1,22,Adult,0.0308,Suc,Cas,15,15,7,5,6,6,1,7,47,7.77116402116402E-05
