obs_nr	length_cm	Handling_Th	AFDM	Foraging_time	Vigilance_time	Preen_time	area_nr	Ts	long_intake	Prey_intake	Prey_m2	R
45	7	9.12	0.137840733	299.36	0.68	0	4	57.08	0.91881571	0.006665778	206.1	0.006665778
40	5	26.84	0.076532073	289.28	10.76	0	5	47.04	1.42743121	0.009998667	168	0.009998667
41	1	2.68	0.004587273	283.36	0	17.64	5	1.28	0.709200264	0.013289037	168	0.013289037
44	4	11.96	0.051805627	284.4	0	8.2	5	44.88	0.896606733	0.010252905	168	0.010252905
59	1	3.4	0.004587273	298.12	1.64	0	5	102.96	0.188126838	0.006672004	168	0.006672004
60	9	8.32	0.213913654	194.2	1.4	0	5	1.72	2.807127829	0.015337423	168	0.015337423
97	5	5.72	0.076532073	291.8	8.08	0	5	66.48	0.606251915	0.006669334	168	0.006669334
51	2	3.48	0.01541579	287.08	6.76	0	6	41	1.24065471	0.013612851	162.4	0.013612851
52	5	11.12	0.076532073	287.24	2.4	0	6	9.72	0.859771584	0.013810247	95.2	0.013810247
54	5	35.52	0.076532073	300.08	0	0	6	98	0.887024904	0.009997334	95.2	0.009997334
94	6	4.88	0.105270751	283.32	12.2	0	6	32.6	1.559662736	0.010151597	95.2	0.010151597
146	6	4.08	0.105270751	259.52	0	0	7	214.84	0.405636372	0.003853268	95.2	0.003853268
141	9	21.16	0.213913654	280.96	2.92	15.76	8	77.88	0.713902197	0.003337338	78.4	0.003337338
142	5	19.2	0.076532073	282.8	7.12	10.24	8	218.8	0.254970926	0.003331557	78.4	0.003331557
143	6	7.36	0.105270751	254.92	0	11.04	8	117.24	0.395814225	0.003759964	78.4	0.003759964
144	5	6.36	0.076532073	320.28	0	2.52	8	141.76	1.597042207	0.012391574	78.4	0.012391574
145	4	33.76	0.051805627	300.04	0	0	8	148.2	0.172662403	0.003332889	78.4	0.003332889
2	1	6.8	0.004587273	276.96	14.28	8.52	10	71.48	0.015303154	0.003336002	56	0.003336002
127	7	8.04	0.137840733	300.2	0	0	10	21.84	0.918326002	0.006662225	56	0.006662225
130	6	17.96	0.105270751	242.16	1.6	57.48	11	89.72	0.927388361	0.006639225	56	0.006639225
9	4	22.2	0.051805627	292.8	5.68	0	12	108.68	0.17356482	0.003350308	39.2	0.003350308
13	3	3.56	0.031325396	295.4	0	0.44	12	1.32	0.121392203	0.006760411	39.2	0.006760411
132	8	34.6	0.174095719	300.12	0	0	12	187.8	1.437045334	0.006664001	39.2	0.006664001
72	32	7.08	0.105270751	182.24	1.56	47.36	13	22.84	0.455402108	0.004326008	67.2	0.004326008
77	9	15.16	0.213913654	113.36	0	0	13	27.72	1.887029414	0.008821454	67.2	0.008821454
121	6	39.08	0.105270751	238.04	1.64	23.6	13	21.56	1.212338217	0.007596475	67.2	0.007596475
124	1	1.32	0.004587273	291.12	5.52	3.16	13	14.96	0.188101737	0.006671114	67.2	0.006671114
139	4	20	0.051805627	295.6	0	4.4	13	252.16	0.172685425	0.003333333	67.2	0.003333333
74	2	8	0.01541579	298.96	0.76	0	14	108.52	0.051433972	0.003336447	50.4	0.003336447
140	6	14.64	0.105270751	294.84	4.68	0	14	76.84	0.932713909	0.00667735	50.4	0.00667735
147	8	26.32	0.174095719	290	0	0	14	166.44	1.075642936	0.006896552	50.4	0.006896552
80	8	45	0.174095719	223.16	2	0.92	15	199.76	0.77006245	0.004423213	44.8	0.004423213
22	8	20.24	0.174095719	270.96	0.32	28.12	16	13.2	1.974959657	0.013360053	72.8	0.013360053
23	8	12.68	0.174095719	159.96	0	2.92	16	76.72	1.068858783	0.006139489	72.8	0.006139489
118	7	17.92	0.137840733	275.16	0	2.92	16	100.48	1.12175076	0.007192175	72.8	0.007192175
138	7	6.4	0.137840733	237.04	0	0	16	188.2	0.581508323	0.004218697	72.8	0.004218697
17	8	18.52	0.174095719	300.04	0	0	17	211.88	0.580241697	0.003332889	78.4	0.003332889
117	7	25.4	0.137840733	225.6	0	1.32	17	222.76	0.607441974	0.004406839	78.4	0.004406839
119	7	11.24	0.137840733	298.4	1.68	0	17	103.2	0.810155572	0.006664889	78.4	0.006664889
133	5	24.36	0.076532073	295.36	0.6	3.72	17	127.04	0.255379315	0.003336893	78.4	0.003336893
135	7	11.2	0.137840733	229.08	0	12.84	17	234.16	0.569778162	0.004133598	78.4	0.004133598
149	6	8	0.105270751	304.92	0	0	17	5.36	1.035721677	0.009838646	78.4	0.009838646
150	5	11.72	0.076532073	277.96	19.44	0	17	136.84	0.257337166	0.003362475	78.4	0.003362475
14	5	24.52	0.076532073	302.6	0	0	18	66.72	0.334178486	0.013218771	95.2	0.013218771
108	9	11	0.213913654	297.12	2.4	0	18	50.68	0.714188216	0.003338675	95.2	0.003338675
65	2	15.56	0.01541579	289.96	3.48	5.84	22	53.24	0.562950869	0.010024058	235.2	0.010024058
82	2	2	0.01541579	289.84	3.24	6.52	22	111.8	0.411459476	0.010013351	235.2	0.010013351
84	8	17	0.174095719	185.48	5.2	27.76	22	37.8	2.247002352	0.027467497	235.2	0.027467497
85	6	13.96	0.105270751	293.52	2.88	3.4	22	58.92	1.334849442	0.013342228	235.2	0.013342228
86	3	8.24	0.031325396	78.64	14.28	0	22	78.96	0.337122212	0.010761946	235.2	0.010761946
91	3	6.64	0.031325396	292.2	7.56	0	22	4.04	0.53263643	0.010008006	235.2	0.010008006
92	7	34.04	0.137840733	224.2	0	0	22	126.04	1.229622951	0.008920607	235.2	0.008920607
46	3	5.8	0.031325396	256.8	0.56	0	23	149	0.1217182	0.003885608	316.3	0.003885608
47	4	20.12	0.051805627	292.32	6	1.44	23	27.6	0.188126838	0.006672004	316.3	0.006672004
89	8	15.72	0.174095719	295.36	0	4.4	23	184.92	0.580783689	0.003336002	316.3	0.003336002
49	6	14.16	0.105270751	28.28	0	47.28	24	13.56	1.393207402	0.013234516	140	0.013234516
101	6	20	0.105270751	265.32	34.8	0	24	169.68	0.350762199	0.003332001	140	0.003332001
