,"Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",2,5,1.791,0.448,4,24
"2",2,10,3.582,1.791,4,24
"3",2,15,12.313,0.672,4,24
"4",2,20,12.313,2.687,4,24
"5",2,25,14.552,2.239,4,24
"6",2,30,14.776,4.478,4,24
"7",2,45,27.313,3.358,4,24
"8",2,60,35.149,5.597,4,24
"9",2,90,31.791,3.582,4,24
"10",1,5,1.567,0.448,4,24
"11",1,10,4.925,1.567,4,24
"12",1,15,8.284,3.134,4,24
"13",1,20,10.075,2.239,4,24
"14",1,25,16.567,3.358,4,24
"15",1,30,13.209,2.015,4,24
"16",1,45,19.254,2.239,4,24
"17",1,60,21.493,3.582,4,24
"18",1,90,22.836,9.851,4,24
"19",4,5,2.239,0.448,4,24
"20",4,10,4.701,0.672,4,24
"21",4,15,7.388,2.463,4,24
"22",4,20,15.672,0.448,4,24
"23",4,25,16.119,4.254,4,24
"24",4,30,19.701,2.015,4,24
"25",4,45,23.507,5.373,4,24
"26",4,60,42.09,3.134,4,24
"27",4,90,33.358,12.985,4,24
"1",1,5,1.045,0.418,4,48
"2",1,10,2.718,1.254,4,48
"3",1,15,6.899,2.927,4,48
"4",1,20,8.153,2.927,4,48
"5",1,25,7.317,4.181,4,48
"6",1,30,8.153,2.718,4,48
"7",1,45,3.763,0.418,4,48
"8",1,60,25.505,10.453,4,48
"9",1,90,17.352,5.436,4,48
"10",2,5,1.045,0.418,4,48
"11",2,10,2.718,2.091,4,48
"12",2,15,6.481,1.882,4,48
"13",2,20,6.272,3.136,4,48
"14",2,25,9.826,2.927,4,48
"15",2,30,17.979,3.345,4,48
"16",2,45,16.098,6.063,4,48
"17",2,60,29.477,3.763,4,48
"18",2,90,21.951,7.735,4,48
"19",4,5,1.882,0.627,4,48
"20",4,10,4.599,1.672,4,48
"21",4,15,9.199,0.627,4,48
"22",4,20,16.098,2.091,4,48
"23",4,25,15.679,5.645,4,48
"24",4,30,26.341,3.972,4,48
"25",4,45,30.732,5.645,4,48
"26",4,60,29.686,12.962,4,48
"27",4,90,59.373,9.617,4,48
