,"Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",2,100,56.09,11.04,10,15
"2",4,100,65.4,5.7,10,15
"3",8,100,77.64,12.59,10,15
"4",1,5,2,0.42,10,15
"5",1,10,5,0.33,10,15
"6",1,20,10.99,1.15,10,15
"7",1,50,28.99,2.62,10,15
"8",1,100,45.97,8.08,10,15
"9",1,200,49.95,7.06,10,15
"1",2,100,39.14,6.68,10,15
"2",4,100,48.15,5.3,10,15
"3",8,100,60.51,8.78,10,15
"4",1,5,1,0.69,10,15
"5",1,10,3,0.64,10,15
"6",1,20,9,1.96,10,15
"7",1,50,23.99,4.62,10,15
"8",1,100,31.98,9.25,10,15
"9",1,200,38.89,9.43,10,15
"1",2,100,28.85,2.35,10,15
"2",4,100,34.85,2.09,10,15
"3",8,100,41.99,7.35,10,15
"4",1,5,1,0.68,10,15
"5",1,10,1.99,0.79,10,15
"6",1,20,4.99,1.86,10,15
"7",1,50,17,4.88,10,15
"8",1,100,19.93,5.41,10,15
"9",1,200,23.88,16.54,10,15
