"Prey","Size","N0","Neaten_s","Neaten_c"
"Scallop","Small",2,1,0
"Scallop","Small",2,0,0
"Scallop","Small",2,0,1
"Scallop","Small",2,0,0
"Scallop","Small",4,0,1
"Scallop","Small",4,2,0
"Scallop","Small",4,0,1
"Scallop","Small",4,1,0
"Scallop","Small",6,1,2
"Scallop","Small",6,2,0
"Scallop","Small",6,1,1
"Scallop","Small",6,0,0
"Scallop","Small",8,2,2
"Scallop","Small",8,3,1
"Scallop","Small",8,2,1
"Scallop","Small",8,2,1
"Scallop","Small",16,2,3
"Scallop","Small",16,3,4
"Scallop","Small",16,4,3
"Scallop","Small",16,3,4
"Scallop","Small",24,2,4
"Scallop","Small",24,5,4
"Scallop","Small",24,2,3
"Scallop","Small",24,4,5
"Scallop","Small",32,4,5
"Scallop","Small",32,5,4
"Scallop","Small",32,1,4
"Scallop","Small",32,4,6
"Scallop","Small",48,4,5
"Scallop","Small",48,3,4
"Scallop","Small",48,5,4
"Scallop","Small",48,5,4
"Scallop","Medium",2,1,0
"Scallop","Medium",2,1,1
"Scallop","Medium",2,1,0
"Scallop","Medium",2,0,1
"Scallop","Medium",4,2,0
"Scallop","Medium",4,1,1
"Scallop","Medium",4,1,1
"Scallop","Medium",4,2,1
"Scallop","Medium",6,3,1
"Scallop","Medium",6,1,1
"Scallop","Medium",6,3,0
"Scallop","Medium",6,2,1
"Scallop","Medium",8,4,2
"Scallop","Medium",8,2,2
"Scallop","Medium",8,3,1
"Scallop","Medium",8,4,2
"Scallop","Medium",16,8,5
"Scallop","Medium",16,4,4
"Scallop","Medium",16,9,5
"Scallop","Medium",16,7,4
"Scallop","Medium",24,10,7
"Scallop","Medium",24,14,9
"Scallop","Medium",24,13,10
"Scallop","Medium",24,12,4
"Scallop","Medium",32,15,11
"Scallop","Medium",32,17,8
"Scallop","Medium",32,15,8
"Scallop","Medium",32,16,4
"Scallop","Medium",48,9,10
"Scallop","Medium",48,17,9
"Scallop","Medium",48,16,7
"Scallop","Medium",48,13,7
"Scallop","Large",2,2,1
"Scallop","Large",2,1,0
"Scallop","Large",2,0,1
"Scallop","Large",2,1,1
"Scallop","Large",4,2,1
"Scallop","Large",4,2,2
"Scallop","Large",4,2,3
"Scallop","Large",4,1,2
"Scallop","Large",6,3,2
"Scallop","Large",6,4,3
"Scallop","Large",6,3,3
"Scallop","Large",6,5,4
"Scallop","Large",8,4,3
"Scallop","Large",8,5,6
"Scallop","Large",8,7,4
"Scallop","Large",8,2,4
"Scallop","Large",16,12,12
"Scallop","Large",16,9,10
"Scallop","Large",16,14,11
"Scallop","Large",16,9,7
"Scallop","Large",24,19,18
"Scallop","Large",24,21,16
"Scallop","Large",24,19,16
"Scallop","Large",24,18,17
"Scallop","Large",32,17,19
"Scallop","Large",32,23,19
"Scallop","Large",32,25,21
"Scallop","Large",32,22,23
"Scallop","Large",48,21,20
"Scallop","Large",48,19,20
"Scallop","Large",48,20,22
"Scallop","Large",48,24,14
"Oyster","Small",2,2,1
"Oyster","Small",2,2,2
"Oyster","Small",2,1,0
"Oyster","Small",2,2,2
"Oyster","Small",4,3,2
"Oyster","Small",4,1,2
"Oyster","Small",4,2,1
"Oyster","Small",4,1,3
"Oyster","Small",6,3,1
"Oyster","Small",6,2,4
"Oyster","Small",6,2,4
"Oyster","Small",6,3,1
"Oyster","Small",8,2,3
"Oyster","Small",8,1,4
"Oyster","Small",8,4,2
"Oyster","Small",8,4,1
"Oyster","Small",16,3,2
"Oyster","Small",16,2,3
"Oyster","Small",16,3,5
"Oyster","Small",16,4,2
"Oyster","Small",24,1,3
"Oyster","Small",24,2,2
"Oyster","Small",24,4,1
"Oyster","Small",24,3,4
"Oyster","Small",32,3,3
"Oyster","Small",32,3,3
"Oyster","Small",32,3,4
"Oyster","Small",32,4,3
"Oyster","Small",48,3,3
"Oyster","Small",48,3,4
"Oyster","Small",48,5,4
"Oyster","Small",48,2,3
"Oyster","Medium",2,1,2
"Oyster","Medium",2,2,2
"Oyster","Medium",2,2,1
"Oyster","Medium",2,2,1
"Oyster","Medium",4,2,3
"Oyster","Medium",4,3,2
"Oyster","Medium",4,4,2
"Oyster","Medium",4,1,4
"Oyster","Medium",6,5,1
"Oyster","Medium",6,3,6
"Oyster","Medium",6,4,5
"Oyster","Medium",6,5,3
"Oyster","Medium",8,4,3
"Oyster","Medium",8,5,7
"Oyster","Medium",8,5,4
"Oyster","Medium",8,3,6
"Oyster","Medium",16,5,6
"Oyster","Medium",16,6,5
"Oyster","Medium",16,9,4
"Oyster","Medium",16,3,7
"Oyster","Medium",24,7,5
"Oyster","Medium",24,6,8
"Oyster","Medium",24,7,4
"Oyster","Medium",24,6,6
"Oyster","Medium",32,13,7
"Oyster","Medium",32,6,10
"Oyster","Medium",32,5,2
"Oyster","Medium",32,10,8
"Oyster","Medium",48,7,4
"Oyster","Medium",48,5,8
"Oyster","Medium",48,8,9
"Oyster","Medium",48,12,11
"Oyster","Large",2,2,2
"Oyster","Large",2,2,2
"Oyster","Large",2,2,2
"Oyster","Large",2,2,1
"Oyster","Large",4,4,3
"Oyster","Large",4,4,3
"Oyster","Large",4,3,4
"Oyster","Large",4,4,3
