Density,Daphnia_eaten,R
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,1,3.96825396825397E-05
5,1,3.96825396825397E-05
5,2,7.93650793650794E-05
5,2,7.93650793650794E-05
5,3,0.000119047619048
10,1,3.96825396825397E-05
10,1,3.96825396825397E-05
10,2,7.93650793650794E-05
10,3,0.000119047619048
10,3,0.000119047619048
10,3,0.000119047619048
10,5,0.000198412698413
10,5,0.000198412698413
10,5,0.000198412698413
10,5,0.000198412698413
20,2,7.93650793650794E-05
20,2,7.93650793650794E-05
20,3,0.000119047619048
20,4,0.00015873015873
20,4,0.00015873015873
20,6,0.000238095238095
20,7,0.000277777777778
20,9,0.000357142857143
20,11,0.000436507936508
20,11,0.000436507936508
40,9,0.000357142857143
40,10,0.000396825396825
40,10,0.000396825396825
40,11,0.000436507936508
40,12,0.00047619047619
40,12,0.00047619047619
40,17,0.000674603174603
40,20,0.000793650793651
40,21,0.000833333333333
40,24,0.000952380952381
70,12,0.00047619047619
70,13,0.000515873015873
70,14,0.000555555555556
70,16,0.000634920634921
70,17,0.000674603174603
70,22,0.000873015873016
70,24,0.000952380952381
70,26,0.001031746031746
70,27,0.001071428571429
70,39,0.001547619047619
100,14,0.000555555555556
100,16,0.000634920634921
100,19,0.000753968253968
100,22,0.000873015873016
100,26,0.001031746031746
100,27,0.001071428571429
100,30,0.001190476190476
100,35,0.001388888888889
100,46,0.001825396825397
100,49,0.001944444444444
140,12,0.00047619047619
140,20,0.000793650793651
140,30,0.001190476190476
140,31,0.001230158730159
140,41,0.001626984126984
140,49,0.001944444444444
140,49,0.001944444444444
140,51,0.00202380952381
140,51,0.00202380952381
140,58,0.002301587301587
