Predator size,density,alive,eaten,Time,R
Large,20,20,0,50400,0
Large,50,42,8,50400,0.00015873015873
Large,100,68,32,50400,0.000634920634921
Large,500,292,208,50400,0.004126984126984
Large,200,131,69,50400,0.001369047619048
Large,100,74,26,50400,0.000515873015873
Large,50,50,0,50400,0
Large,500,318,182,50400,0.003611111111111
Large,200,155,45,50400,0.000892857142857
Large,20,20,0,50400,0
Large,20,8,12,50400,0.000238095238095
Large,100,58,42,50400,0.000833333333333
Large,500,302,198,50400,0.003928571428571
Large,500,296,204,50400,0.004047619047619
Large,50,47,3,50400,5.95238095238095E-05
Large,200,120,80,50400,0.001587301587302
Large,200,25,175,50400,0.003472222222222
Large,100,61,39,50400,0.00077380952381
Large,50,4,46,50400,0.000912698412698
Large,20,20,0,50400,0
Medium,20,2,18,50400,0.000357142857143
Medium,500,155,345,50400,0.006845238095238
Medium,50,43,7,50400,0.000138888888889
Medium,500,308,192,50400,0.003809523809524
Medium,200,50,150,50400,0.00297619047619
Medium,200,130,70,50400,0.001388888888889
Medium,50,50,0,50400,0
Medium,100,32,68,50400,0.001349206349206
Medium,100,37,63,50400,0.00125
Medium,20,7,13,50400,0.000257936507937
Medium,20,11,9,50400,0.000178571428571
Medium,100,47,53,50400,0.001051587301587
Medium,200,29,171,50400,0.003392857142857
Medium,100,80,20,50400,0.000396825396825
Medium,200,70,130,50400,0.002579365079365
Medium,500,61,439,50400,0.008710317460317
Medium,500,180,320,50400,0.006349206349206
Medium,50,2,48,50400,0.000952380952381
Medium,50,3,47,50400,0.00093253968254
Medium,20,7,13,50400,0.000257936507937
Small,100,5,95,50400,0.001884920634921
Small,20,6,14,50400,0.000277777777778
Small,20,1,19,50400,0.000376984126984
Small,50,2,48,50400,0.000952380952381
Small,50,3,47,50400,0.00093253968254
Small,200,19,181,50400,0.00359126984127
Small,200,50,150,50400,0.00297619047619
Small,50,11,39,50400,0.00077380952381
Small,20,5,15,50400,0.000297619047619
Small,200,68,132,50400,0.002619047619048
Small,100,12,88,50400,0.001746031746032
Small,500,356,144,50400,0.002857142857143
Small,500,363,137,50400,0.002718253968254
Small,100,11,89,50400,0.001765873015873
Small,100,38,62,50400,0.001230158730159
Small,500,400,100,50400,0.001984126984127
Small,500,340,160,50400,0.003174603174603
Small,50,2,48,50400,0.000952380952381
Small,200,36,164,50400,0.003253968253968
Small,20,1,19,50400,0.000376984126984
