Arena_size,Arena_diameter,Arena_shape,Arena_area,Density,Prey_number,Eaten,R
Large,25,Circular,490.9,0.10,49,10,0.005555555555556
Large,25,Circular,490.9,0.10,49,6,0.003333333333333
Large,25,Circular,490.9,0.10,49,12,0.006666666666667
Large,25,Circular,490.9,0.10,49,5,0.002777777777778
Large,25,Circular,490.9,0.10,49,12,0.006666666666667
Large,25,Circular,490.9,0.10,49,14,0.007777777777778
Large,25,Annular,207.3,0.10,21,4,0.002222222222222
Large,25,Annular,207.3,0.10,21,8,0.004444444444444
Large,25,Annular,207.3,0.10,21,7,0.003888888888889
Large,25,Annular,207.3,0.10,21,6,0.003333333333333
Large,25,Annular,207.3,0.10,21,6,0.003333333333333
Large,25,Annular,207.3,0.10,21,5,0.002777777777778
Large,25,Annular,207.3,0.24,49,10,0.005555555555556
Large,25,Annular,207.3,0.24,49,8,0.004444444444444
Large,25,Annular,207.3,0.24,49,6,0.003333333333333
Large,25,Annular,207.3,0.24,49,8,0.004444444444444
Large,25,Annular,207.3,0.24,49,9,0.005
Large,25,Annular,207.3,0.24,49,6,0.003333333333333
Medium,14.5,Circular,165.1,0.10,17,7,0.003888888888889
Medium,14.5,Circular,165.1,0.10,17,5,0.002777777777778
Medium,14.5,Circular,165.1,0.10,17,6,0.003333333333333
Medium,14.5,Circular,165.1,0.10,17,7,0.003888888888889
Medium,14.5,Circular,165.1,0.10,17,8,0.004444444444444
Medium,14.5,Circular,165.1,0.10,17,12,0.006666666666667
Medium,14.5,Annular,101.5,0.10,10,7,0.003888888888889
Medium,14.5,Annular,101.5,0.10,10,5,0.002777777777778
Medium,14.5,Annular,101.5,0.10,10,6,0.003333333333333
Medium,14.5,Annular,101.5,0.10,10,5,0.002777777777778
Medium,14.5,Annular,101.5,0.10,10,5,0.002777777777778
Medium,14.5,Annular,101.5,0.10,10,6,0.003333333333333
Medium,14.5,Annular,101.5,0.17,17,11,0.006111111111111
Medium,14.5,Annular,101.5,0.17,17,12,0.006666666666667
Medium,14.5,Annular,101.5,0.17,17,7,0.003888888888889
Medium,14.5,Annular,101.5,0.17,17,5,0.002777777777778
Medium,14.5,Annular,101.5,0.17,17,9,0.005
Medium,14.5,Annular,101.5,0.17,17,12,0.006666666666667
Small,9,Circular,63.6,0.09,6,4,0.002222222222222
Small,9,Circular,63.6,0.09,6,2,0.001111111111111
Small,9,Circular,63.6,0.09,6,3,0.001666666666667
Small,9,Circular,63.6,0.09,6,4,0.002222222222222
Small,9,Circular,63.6,0.09,6,5,0.002777777777778
Small,9,Circular,63.6,0.09,6,6,0.003333333333333
Small,9,Annular,54.0,0.09,5,5,0.002777777777778
Small,9,Annular,54.0,0.09,5,5,0.002777777777778
Small,9,Annular,54.0,0.09,5,3,0.001666666666667
Small,9,Annular,54.0,0.09,5,3,0.001666666666667
Small,9,Annular,54.0,0.09,5,5,0.002777777777778
Small,9,Annular,54.0,0.09,5,4,0.002222222222222
Small,9,Annular,54.0,0.11,6,3,0.001666666666667
Small,9,Annular,54.0,0.11,6,4,0.002222222222222
Small,9,Annular,54.0,0.11,6,2,0.001111111111111
Small,9,Annular,54.0,0.11,6,4,0.002222222222222
Small,9,Annular,54.0,0.11,6,3,0.001666666666667
Small,9,Annular,54.0,0.11,6,6,0.003333333333333
