"model","additional_parameter_value","dimensionality","method","initial_density","CV"
"default",0,1,"prediction",1000,0.29798
"default",0,1,"prediction",1090.9,0.29798
"default",0,1,"prediction",1181.8,0.29798
"default",0,1,"prediction",1272.7,0.29798
"default",0,1,"prediction",1363.6,0.29798
"default",0,1,"prediction",1454.5,0.29798
"default",0,1,"prediction",1545.5,0.29798
"default",0,1,"prediction",1636.4,0.29798
"default",0,1,"prediction",1727.3,0.29798
"default",0,1,"prediction",1818.2,0.29798
"default",0,1,"prediction",1909.1,0.29798
"default",0,1,"prediction",2000,0.29798
"default",0,1,"prediction",2090.9,0.29798
"default",0,1,"prediction",2181.8,0.29798
"default",0,1,"prediction",2272.7,0.29798
"default",0,1,"prediction",2363.6,0.29798
"default",0,1,"prediction",2454.5,0.29798
"default",0,1,"prediction",2545.5,0.29798
"default",0,1,"prediction",2636.4,0.29798
"default",0,1,"prediction",2727.3,0.29798
"default",0,1,"prediction",2818.2,0.29798
"default",0,1,"prediction",2909.1,0.29798
"default",0,1,"prediction",3000,0.29798
"default",0,1,"prediction",3090.9,0.29798
"default",0,1,"prediction",3181.8,0.29798
"default",0,1,"prediction",3272.7,0.29798
"default",0,1,"prediction",3363.6,0.29798
"default",0,1,"prediction",3454.5,0.29798
"default",0,1,"prediction",3545.5,0.29798
"default",0,1,"prediction",3636.4,0.29798
"default",0,1,"prediction",3727.3,0.29798
"default",0,1,"prediction",3818.2,0.29798
"default",0,1,"prediction",3909.1,0.29798
"default",0,1,"prediction",4000,0.29798
"default",0,1,"prediction",4090.9,0.29798
"default",0,1,"prediction",4181.8,0.29798
"default",0,1,"prediction",4272.7,0.29798
"default",0,1,"prediction",4363.6,0.29798
"default",0,1,"prediction",4454.5,0.29798
"default",0,1,"prediction",4545.5,0.29798
"default",0,1,"prediction",4636.4,0.29798
"default",0,1,"prediction",4727.3,0.29798
"default",0,1,"prediction",4818.2,0.29798
"default",0,1,"prediction",4909.1,0.29798
"default",0,1,"prediction",5000,0.29798
"default",0,1,"prediction",5090.9,0.29798
"default",0,1,"prediction",5181.8,0.29798
"default",0,1,"prediction",5272.7,0.29798
"default",0,1,"prediction",5363.6,0.29798
"default",0,1,"prediction",5454.5,0.29798
"default",0,1,"prediction",5545.5,0.29798
"default",0,1,"prediction",5636.4,0.29798
"default",0,1,"prediction",5727.3,0.29798
"default",0,1,"prediction",5818.2,0.29798
"default",0,1,"prediction",5909.1,0.29798
"default",0,1,"prediction",6000,0.29798
"default",0,1,"prediction",6090.9,0.29798
"default",0,1,"prediction",6181.8,0.29798
"default",0,1,"prediction",6272.7,0.29798
"default",0,1,"prediction",6363.6,0.29798
"default",0,1,"prediction",6454.5,0.29798
"default",0,1,"prediction",6545.5,0.29798
"default",0,1,"prediction",6636.4,0.29798
"default",0,1,"prediction",6727.3,0.29798
"default",0,1,"prediction",6818.2,0.29798
"default",0,1,"prediction",6909.1,0.29798
"default",0,1,"prediction",7000,0.29798
"default",0,1,"prediction",7090.9,0.29798
"default",0,1,"prediction",7181.8,0.29798
"default",0,1,"prediction",7272.7,0.29798
"default",0,1,"prediction",7363.6,0.29798
"default",0,1,"prediction",7454.5,0.29798
"default",0,1,"prediction",7545.5,0.29798
"default",0,1,"prediction",7636.4,0.29798
"default",0,1,"prediction",7727.3,0.29798
"default",0,1,"prediction",7818.2,0.29798
"default",0,1,"prediction",7909.1,0.29798
"default",0,1,"prediction",8000,0.29798
"default",0,1,"prediction",8090.9,0.29798
"default",0,1,"prediction",8181.8,0.29798
"default",0,1,"prediction",8272.7,0.29798
"default",0,1,"prediction",8363.6,0.29798
"default",0,1,"prediction",8454.5,0.29798
"default",0,1,"prediction",8545.5,0.29798
"default",0,1,"prediction",8636.4,0.29798
"default",0,1,"prediction",8727.3,0.29798
"default",0,1,"prediction",8818.2,0.29798
"default",0,1,"prediction",8909.1,0.29798
"default",0,1,"prediction",9000,0.29798
"default",0,1,"prediction",9090.9,0.29798
"default",0,1,"prediction",9181.8,0.29798
"default",0,1,"prediction",9272.7,0.29798
"default",0,1,"prediction",9363.6,0.29798
"default",0,1,"prediction",9454.5,0.29798
"default",0,1,"prediction",9545.5,0.29798
"default",0,1,"prediction",9636.4,0.29798
"default",0,1,"prediction",9727.3,0.29798
"default",0,1,"prediction",9818.2,0.29798
"default",0,1,"prediction",9909.1,0.29798
"default",0,1,"prediction",10000,0.29798
"default",0,2,"prediction",961,0.10836
"default",0,2,"prediction",1052.3,0.10795
"default",0,2,"prediction",1143.6,0.10757
"default",0,2,"prediction",1234.9,0.10722
"default",0,2,"prediction",1326.2,0.1069
"default",0,2,"prediction",1417.5,0.10661
"default",0,2,"prediction",1508.8,0.10633
"default",0,2,"prediction",1600.1,0.10607
"default",0,2,"prediction",1691.4,0.10583
"default",0,2,"prediction",1782.7,0.1056
"default",0,2,"prediction",1874,0.10539
"default",0,2,"prediction",1965.3,0.10518
"default",0,2,"prediction",2056.6,0.10499
"default",0,2,"prediction",2147.9,0.10481
"default",0,2,"prediction",2239.2,0.10463
"default",0,2,"prediction",2330.5,0.10446
"default",0,2,"prediction",2421.8,0.1043
"default",0,2,"prediction",2513.2,0.10414
"default",0,2,"prediction",2604.5,0.104
"default",0,2,"prediction",2695.8,0.10385
"default",0,2,"prediction",2787.1,0.10371
"default",0,2,"prediction",2878.4,0.10358
"default",0,2,"prediction",2969.7,0.10345
"default",0,2,"prediction",3061,0.10333
"default",0,2,"prediction",3152.3,0.10321
"default",0,2,"prediction",3243.6,0.10309
"default",0,2,"prediction",3334.9,0.10298
"default",0,2,"prediction",3426.2,0.10287
"default",0,2,"prediction",3517.5,0.10276
"default",0,2,"prediction",3608.8,0.10266
"default",0,2,"prediction",3700.1,0.10256
"default",0,2,"prediction",3791.4,0.10246
"default",0,2,"prediction",3882.7,0.10236
"default",0,2,"prediction",3974,0.10227
"default",0,2,"prediction",4065.3,0.10218
"default",0,2,"prediction",4156.6,0.10209
"default",0,2,"prediction",4247.9,0.10201
"default",0,2,"prediction",4339.2,0.10192
"default",0,2,"prediction",4430.5,0.10184
"default",0,2,"prediction",4521.8,0.10176
"default",0,2,"prediction",4613.1,0.10168
"default",0,2,"prediction",4704.4,0.1016
"default",0,2,"prediction",4795.7,0.10153
"default",0,2,"prediction",4887,0.10145
"default",0,2,"prediction",4978.3,0.10138
"default",0,2,"prediction",5069.6,0.10131
"default",0,2,"prediction",5160.9,0.10124
"default",0,2,"prediction",5252.2,0.10117
"default",0,2,"prediction",5343.5,0.1011
"default",0,2,"prediction",5434.8,0.10104
"default",0,2,"prediction",5526.2,0.10097
"default",0,2,"prediction",5617.5,0.10091
"default",0,2,"prediction",5708.8,0.10085
"default",0,2,"prediction",5800.1,0.10079
"default",0,2,"prediction",5891.4,0.10073
"default",0,2,"prediction",5982.7,0.10067
"default",0,2,"prediction",6074,0.10061
"default",0,2,"prediction",6165.3,0.10055
"default",0,2,"prediction",6256.6,0.10049
"default",0,2,"prediction",6347.9,0.10044
"default",0,2,"prediction",6439.2,0.10038
"default",0,2,"prediction",6530.5,0.10033
"default",0,2,"prediction",6621.8,0.10028
"default",0,2,"prediction",6713.1,0.10023
"default",0,2,"prediction",6804.4,0.10017
"default",0,2,"prediction",6895.7,0.10012
"default",0,2,"prediction",6987,0.10007
"default",0,2,"prediction",7078.3,0.10003
"default",0,2,"prediction",7169.6,0.099977
"default",0,2,"prediction",7260.9,0.099929
"default",0,2,"prediction",7352.2,0.099882
"default",0,2,"prediction",7443.5,0.099835
"default",0,2,"prediction",7534.8,0.099789
"default",0,2,"prediction",7626.1,0.099744
"default",0,2,"prediction",7717.4,0.099699
"default",0,2,"prediction",7808.7,0.099655
"default",0,2,"prediction",7900,0.099612
"default",0,2,"prediction",7991.3,0.099569
"default",0,2,"prediction",8082.6,0.099526
"default",0,2,"prediction",8173.9,0.099484
"default",0,2,"prediction",8265.2,0.099443
"default",0,2,"prediction",8356.5,0.099402
"default",0,2,"prediction",8447.8,0.099362
"default",0,2,"prediction",8539.2,0.099322
"default",0,2,"prediction",8630.5,0.099282
"default",0,2,"prediction",8721.8,0.099243
"default",0,2,"prediction",8813.1,0.099204
"default",0,2,"prediction",8904.4,0.099166
"default",0,2,"prediction",8995.7,0.099129
"default",0,2,"prediction",9087,0.099091
"default",0,2,"prediction",9178.3,0.099054
"default",0,2,"prediction",9269.6,0.099018
"default",0,2,"prediction",9360.9,0.098982
"default",0,2,"prediction",9452.2,0.098946
"default",0,2,"prediction",9543.5,0.098911
"default",0,2,"prediction",9634.8,0.098876
"default",0,2,"prediction",9726.1,0.098841
"default",0,2,"prediction",9817.4,0.098807
"default",0,2,"prediction",9908.7,0.098773
"default",0,2,"prediction",10000,0.098739
"default",0,3,"prediction",1000,0.0086746
"default",0,3,"prediction",1083.4,0.008558
"default",0,3,"prediction",1166.9,0.0084517
"default",0,3,"prediction",1250.3,0.0083542
"default",0,3,"prediction",1333.8,0.0082642
"default",0,3,"prediction",1417.2,0.0081807
"default",0,3,"prediction",1500.7,0.0081029
"default",0,3,"prediction",1584.1,0.00803
"default",0,3,"prediction",1667.6,0.0079617
"default",0,3,"prediction",1751,0.0078973
"default",0,3,"prediction",1834.4,0.0078364
"default",0,3,"prediction",1917.9,0.0077788
"default",0,3,"prediction",2001.3,0.0077241
